gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
437425742				CC_BY_4_0	2015-09-04T04:21:51Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03210157	P03210157																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:33:34.069Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:33:34.069Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425741				CC_BY_4_0	2017-10-25T11:10:35Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03210217	P03210217																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:32:15.109Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:32:15.109Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425740				CC_BY_4_0	2015-09-04T08:59:27Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04144490	P04144490																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:33:43.614Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:33:43.614Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425739				CC_BY_4_0	2015-09-04T09:02:44Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p02973886	P02973886																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:32:13.317Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:32:13.317Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425738				CC_BY_4_0	2015-09-04T09:00:16Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04144647	P04144647																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:32:24.799Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:32:24.799Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425737				CC_BY_4_0	2015-09-04T09:03:03Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p02973356	P02973356																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:32:13.560Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:32:13.560Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425736				CC_BY_4_0	2017-10-25T12:05:59Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p02973995	P02973995																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:33:27.852Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:33:27.852Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425735				CC_BY_4_0	2015-09-04T09:07:39Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04162292	P04162292																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:32:24.609Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:32:24.609Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425734				CC_BY_4_0	2015-09-04T09:07:39Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04162294	P04162294																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:32:24.543Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:32:24.543Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425733				CC_BY_4_0	2017-10-20T15:46:56Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04163321	P04163321																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:32:23.859Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:32:23.859Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425732				CC_BY_4_0	2017-10-25T10:53:19Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04162408	P04162408																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:33:39.877Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:33:39.877Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425731				CC_BY_4_0	2015-09-04T09:09:20Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04192008	P04192008																	PRESENT	hb																																																																																																												Rosa dumetorum Thuill.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			dumetorum			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:33:40.901Z							StillImage	false	false	8250315	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa dumetorum Thuill.		EML	2024-10-30T17:33:40.901Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437425162				CC_BY_4_0	2015-09-04T09:01:37Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03009065	P03009065																	PRESENT	hb																																																																																																												Rosa corymbifera Borkh.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			corymbifera			SPECIES				ACCEPTED			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:33:28.405Z							StillImage	false	false	3007783	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa corymbifera Borkh.		EML	2024-10-30T17:33:28.405Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437281884				CC_BY_4_0	2017-10-25T16:07:20Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03210302	P03210302																	PRESENT	hb																																																																																																												Rosa platyphylla A.Rau								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			platyphylla			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:32:16.064Z							StillImage	false	false	7746172	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa platyphylla A.Rau		EML	2024-10-30T17:32:16.064Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
437280516				CC_BY_4_0	2017-10-25T11:38:03Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04159421	P04159421																	PRESENT	hb																																																																																																												Rosa imitata Déségl.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Rosa	Rosa			imitata			SPECIES				SYNONYM			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-10-30T17:32:24.604Z							StillImage	false	false	3010638	3007783	6	7707728	220	691	5015	8395064		3007783	Rosa corymbifera	Rosa corymbifera Borkh.	Rosa imitata Déségl.		EML	2024-10-30T17:32:24.604Z	2024-10-30T15:59:08.029Z				false		EUROPE									NE
